Point,Latitude,Longitude,Contexte,Période,Saison,NORNSV23,NORNSV24,NORNSV25,NORIFM20,NORIFM40,NORIFM60,NORIS400,NORIS700,NORIS1000
5049,44.0491,-0.0073,RCP4.5,H1,4,14,1,-999,4,0,0,34,1,-999
5179,44.0854,-1.307,RCP4.5,H1,2,0,0,-999,0,0,0,0,0,-999
5179,44.0854,-1.307,RCP4.5,H1,3,10,4,0,18,1,0,30,3,0
5179,44.0854,-1.307,RCP4.5,H1,4,6,2,-999,4,0,0,30,3,-999
5180,44.0887,-1.2073,RCP4.5,H1,2,0,0,-999,2,0,0,0,0,-999
5180,44.0887,-1.2073,RCP4.5,H1,3,18,5,0,19,1,0,29,3,0
5180,44.0887,-1.2073,RCP4.5,H1,4,11,2,-999,4,0,0,29,2,-999
5181,44.0919,-1.1076,RCP4.5,H1,2,0,0,-999,2,0,0,0,0,-999
5181,44.0919,-1.1076,RCP4.5,H1,3,18,5,0,18,1,0,24,2,0
5181,44.0919,-1.1076,RCP4.5,H1,4,11,2,-999,4,0,0,26,2,-999
5182,44.095,-1.0079,RCP4.5,H1,2,0,0,-999,3,0,0,0,0,-999
5182,44.095,-1.0079,RCP4.5,H1,3,17,4,0,19,1,0,24,2,0
5182,44.095,-1.0079,RCP4.5,H1,4,11,1,-999,4,0,0,26,2,-999
5183,44.098,-0.9082,RCP4.5,H1,2,0,0,-999,3,0,0,0,0,-999
5183,44.098,-0.9082,RCP4.5,H1,3,18,4,0,19,1,0,24,1,0
5183,44.098,-0.9082,RCP4.5,H1,4,11,2,-999,4,0,0,27,1,-999
5184,44.1009,-0.8085,RCP4.5,H1,2,0,0,-999,3,0,0,0,0,-999
5184,44.1009,-0.8085,RCP4.5,H1,3,18,3,0,20,1,0,24,1,0
5184,44.1009,-0.8085,RCP4.5,H1,4,12,2,-999,4,0,0,27,3,-999
5185,44.1038,-0.7087,RCP4.5,H1,2,0,0,-999,3,0,0,0,0,-999
5185,44.1038,-0.7087,RCP4.5,H1,3,19,3,0,20,2,0,24,1,0
5185,44.1038,-0.7087,RCP4.5,H1,4,12,2,-999,4,0,0,26,2,-999
5186,44.1065,-0.609,RCP4.5,H1,2,0,0,-999,3,0,0,0,0,-999
5186,44.1065,-0.609,RCP4.5,H1,3,18,3,0,20,2,0,25,2,0
5186,44.1065,-0.609,RCP4.5,H1,4,12,2,-999,4,0,0,35,4,-999
5187,44.1092,-0.5092,RCP4.5,H1,2,0,0,-999,4,0,0,0,0,-999
5187,44.1092,-0.5092,RCP4.5,H1,3,20,4,1,23,2,0,23,1,0
5187,44.1092,-0.5092,RCP4.5,H1,4,13,3,-999,6,0,0,32,4,-999
5188,44.1117,-0.4094,RCP4.5,H1,2,0,0,-999,3,0,0,0,0,-999
